speakerA_name,speakerB_name,speakerA-1,speakerB-2,speakerA-3,speakerB-4,speakerA-5
Ibu Sherina,Sherina,Kenapa kamu bisa bilang itu penyakit keturunan?,"Habis, kalau misalnya ada orang bilang, ""Aduh, Sherina baik."" Pasti Ibu bilang, ""Turunan ibunya.""  Kalau kebaikan bisa menurun, kenakalan juga bisa.","Ah, kamu ini...","Kalau bukan keturunan...bawaan dari kecil, ya?
","Kamu tahu, bayi terlahir ke dunia dalam keadaan bersih tanpa dosa jadi tidak mungkin kalau ada kenakalan bawaan dari kecil."
Sherina,Ibu Sherina,"Kalau begitu, kutukan, ya?",Tahu dari mana kamu tentang kutukan segala?,"Habis apa, Bu?","Mana Ibu tahu, yang namanya Sadam saja.Ibu belum pernah lihat.","Tidak usah lihat Bu,
tampangnya itu amit-amit sekali!
"
Ayah Sherina,Sherina,Kalau kita semua pergi ke vilanya Pak Ardiwilaga. Masih kesal apa tidak?,"Memang ada apa di sana?
","Banyak. Di sana itu ada kebun yang luas sekali. Ada bukit-bukit kecil dan di dekatnya ada danau, ada juga hutan-hutan kecil,
pokoknya kamu bisa hiking di sana. Tapi ya, terserah kamu mau ikut apa tidak. Mau apa tidak?
",Mau!,Ya!
Ibu Natasya,Ibu Ardiwilaga,"Selamat pagi, Ibu Ardiwilaga.","Ibu Natasya, pagi sekali?
","Saya mau ke Jakarta. Tadi saya lewat depan situ tiba-tiba saya kepikiran untuk mampir.
","Ayo, masuk dulu.","Sebelum saya kembali ke Jakarta, saya ingin menawarkan sekali lagi pada Ibu. untuk...
Mungkin Ibu mau menjual perkebunan ini ke saya."
Pak Ardiwilaga,Ibu Natasya,Selamat pagi. Bu Natasya.,"Selamat pagi, Pak Ardiwilaga.","Kelihatannya Bapak mau pergi?
","Tidak, mau ada tamu, agronom lulusan IPB. Setahun di Jepang, sekarang bantu saya di perkebunan.
","Oh, iya."
Ibu Sherina,Sherina,"Sherina! Jangan melihat orang seperti itu.
","Memang kenapa, Bu?",Tidak sopan.,"Memang itu siapa?
","Ya, tidak tahu."
Pak Ardiwilaga,Pak Buan,Pak Buan.,"Semen di saluran air
sudah kering apa belum?","Kalau memang tidak ada hujan, mungkin besok sudah bisa dipakai.","Bagus. Terima kasih, Pak Buan.","Ya, sama-sama."
Pak Ardiwilaga,Pak Darmawan,"Pak Darmawan, menurut Pak Darmawan
kerusakan kebun saya ini serius, ya?","Setelah saya teliti, apa yang terjadi di sini, Pak Ardi rupanya kerusakannya akibat ulah tangan manusia juga.
","Tunggu tunggu, maksud Pak Darnawan berarti ada orang yang berusaha merusak perkebunan saya ini?

Astaga.
","Dari apa yang sudah saya pelajari apa yang terjadi
selama lebih kurang empat bulan ini kelihatannya sangat aneh, Pak.
","Siapa, ya, yang tega berbuat itu kepada saya?
Astagfirullah."
Penculik,Ibu Natasya,"Ibu Natasya? Anaknya bersama saya, sehat-sehat saja.","Sebentar lagi Pak Ardiwilaga dan istrinya akan ke situ menjemput Sadam.
","Ya. Mereka bawa uang, Bu?","Iya, langsung saja kembalikan Sadam ke orang tuanya.","Iya, tapi yang perempuan kabur.
"
Polisi,Kertarajasa,"Bapak Kertarajasa, saya membawa surat penangkapan saudara.","Tenang, ini pasti salah paham!","Atas perintah komandan kami, Bapak segera ditangkap. Ini surat penangkapannya.",Sebentar! Bapak salah paham! Saya Kertarajasa!,"Ini fitnah! Sebentar, sebentar.
"
Jongki,Bedul,Ramai betul tempatmu.,"Ah, iya, Bang. Alhamdulillah, Bang. [terkekeh]",Anak baru?,"Iya, Bang. Baru dua hari dia, Bang. Tapi, alhamdulillah,
banyak orang yang mau lempar dia, Bang!
","Mungkin karena auranya? Orang mungkin kalau melempar dia,
seperti ada sensasi lempar jamrah?
"
Tentara,Boris,"Namanya juga masuk tentara. Saya harus berbagi
dengan atasan saya juga. Agar lancar. Pokoknya,
sepuluh juta, terima beres. Mas Boris tinggal ikut ujian praktik saja

","Masih harus ikut ujian, Dan?","Ah, formalitas saja. Lagi pula, ujiannya juga gampang, Menembak kaleng,
dan paling...jauh-jauhan ludah.

",Ha?,"Nah. Ayo, coba. Latihan."
Bapak Naomi,Bene,"Kalau kau serius mau menikah dengan Naomi, ya, silakan. Tapi bisa atau tidak kau buat pesta di gedung? Minimal 1.000 tamu.
","Apa tidak kebanyakan tamunya, Tulang?","Ah! Tak usah atur aku! Kalau kubilang 1.000, ya, 1.000. Kalau kau tak merasa sanggup,
ya, tidak apa-apa. Masih ada yang sanggup
dan mau melamar anakku. Kau sanggup, tidak?



","Sanggup, Tulang.",Begitu!
Oki,Jegel,Jegel?,"Oki! Astaga! Kau tak bilang sudah bebas.
","Maka itu aku di sini.
","Kau dari mana? Kok capai sekali sepertinya?

",Masjid.
Oki,Adik Oki,"Ambilkan dulu obat Mamak, Dik.","Sudah habis, Bang.",Bukannya sudah kutebus minggu lalu?,"Iya, Bang. Tapi itu cuma untuk seminggu.
","Nanti siang kutebus, ya?"
Jongki,Oki,"Jelas? Atau tidak?
","Jelas, Bang! Jelas sekali!
",Kau sedang apa di sini?,"Aku mau pastikan
rumah hantu ini tak akan bubar, Bang.

","Ya sudah. Ingat, kalian.
Saya tunggu sampai akhir bulan.
"
Oki,Adik Oki,Asalamualaikum.,Wa alaikum salam.,"Dik...Biar Abang saja. Kamu mandilah.
","Aku sudah mandi, Bang.","Mandi lagi. Kulihat mandimu belum bersih.

"
Oki,Mamak Oki,"Mak. Mamak tanda tangan, ya, di sini?","Apa ini, Nak?","Surat untuk menebus obat, Mak.",Kok pakai tanda tangan segala?,"Agar dapat diskon 80 persen, Mak."
Bene,Tukang,"Mantap sekali ini, Bang.","Pekerjaanku memang mantap. Nah. Ini bonnya, ya?
","Tidak bisa dikurangi, Bang?",Bisa.,"Tapi hurufnya dikurangi dua, ya? Rumah Han. Mau?"
Basuki,Intan,"Intan-ku sayang.
","Ih! Mas Basuki kok lama sekali?
Aku menunggu dari tadi.


","Maaf, aku harus berakting dulu di rumah. Nanti kalau orang rumah
sampai curiga, bagaimana?
","Iya, tapi kalau aku kirim chat, balas","Iya, maaf.
"
Intan,Basuki,"Mas, ada istri kamu!",Ha? Di mana?,Jangan menengok! Nanti ketahuan!,"Terus, bagaimana ini?"," Ya sudah, cepat!"
Marlina,Jegel,Bang Jegel kenapa keluar?,"Karena aku mau beri tahu, kita harus tutup sekarang!","Baru jam segini, Bang. Kok tutup?","Ya, karena ada yang mati.",Ha? Mati?
Naomi,Bene,Kau kenapa? Dari tadi diam saja.,"Tidak apa-apa. Lagi tidak enak badan saja, Naomi.",Kita mau pulang saja?,"Tidak, tak apa-apa. Aman.","Oh, iya, Ben."
Boris,Mamak Boris,"Halo, Mak.",Boris! Apa kabar?,"Sehat, Mak.","Syukurlah kalau begitu. Kapan kau jadi datang dan menengok Mamak? Sudah dua tahun kamu tak pulang, Mang
","Iya, Mak. sebenarnya aku ingin pulang, tapi belum tahu kapan, Mak."
Intan,Basuki,"Mas, kita berpencar, ya?",Ha? Berpencar bagaimana maksudmu?,"Mas masuk ke rumah hantu itu. Ya? Nanti kalau sudah aman,
kita bertemu di sini lagi.

","Ya, jangan rumah hantu juga, Sayang. Nanti kalau jantung aku kumat, bagaimana?


","Ya, tapi cuma itu
satu-satunya tempat yang tertutup.

"
Tohar,Marlina,"Tadi katanya ada orang di pasar malam,
tempat kerja kamu, yang punya informasi soal Pak Basuki,
tapi dia bisu. Memang ada, ya?

","Obet?
","Iya! Obet! Kamu kenal dia, tidak?


","Ya, kenal, Bang. Dia tukang bersih-bersih di pasar malam.",Dia pernah bicara atau tidak soal Pak Basuki?
Marlina,Boris,Halo? Bang?,"Mar, kau di mana? Ini sudah mau buka.","Iya, Bang, ini lagi makan. Sebentar lagi sampai.","Ya sudah. Cepat, ya?","Ya, Bang."
Marlina,Tohar,"Aduh, Bang. Maaf, ya. Saya buru-buru, sudah ditunggu.
","Tak apa-apa. Aku yang antar, ya?
","Aduh, tak usah, Bang. Merepotkan.","Sudah, santai saja. Tak apa-apa, aku saja.","Bang...Tapi jangan pakai ""wiu-wiu"", ya?"
Mamak Oki,Oki,"Kenapa kau, Nak?

","Mamak malu punya anak sepertiku, ya?
","Kok begitu bicaramu, Nak?
","Dari dulu, aku mengecewakan Mamak terus. Belum pernah
membahagiakan Mamak sekali pun.
",Kok jadi kau yang lebih tahu perasaanku?
Tohar,Intan,"Yakin kamu tak kenal Pak Basuki? Terus kenapa nomor yang menghubungi dia terdaftar atas nama kamu?
","Pak. Berapa kali saya harus bilang? Ponsel saya pernah hilang! Ya, bisa saja nomor itu dipakai oleh orang yang menemukan ponsel saya.","Oke. Sekarang, jelaskan kepada saya. Kenapa botol obat Pak Basuki bisa ada di kamar kamu? Hmm? ","Pak, saya... Saya tidak tahu itu...
","Tidak tahu apa? Jelas-jelas botol ini ditemukan di kamar kamu! Kalau kamu tak kenal, untuk apa kamu simpan? Kamu dengar saya, ya. Semua bukti yang ada...hanya mengarah ke satu orang. Satu orang! Dan itu kamu!

"
Boris,Mamak Boris,"Mak! Maafkan aku, ya, Mak.","Tak usah kau bahas lagi. Kau sudah tebus semua kesalahanmu. Kita pulang, ya?
","Tapi aku malu, Mak. Aku gagal jadi tentara, Mak.","Sudahlah, Mang. Mamak sudah ikhlas. Mamak tak apa-apa kau tak jadi tentara. Kau masih bisa jadi Satpol PP.",Ha?
Deniz,Lala,"Metode belajarnya Kak Lala gimana sih?
","Metode belajar ya, Jadi kayak gini Kak Deniz. Sebenarnya Receipt by myself ya. Tapi belum tentu semua orang nyaman. Cuma kalau kalian nyaman, Boleh aja pakai resep dari aku gitu kan



","Ya nggak sih Kak Deniz?
","Bener banget. Setuju banget sama Lala ya. Memang setiap orang itu metode belajarnya berbeda-beda. Ada yang harus di pagi hari, Habis subuh mungkin ya
",Bener-bener
Deniz,Lala,"Memang belajar orang itu berbeda-beda nih temen-temen. Dan Kalau temen-temen semua atau sahabat Genbi yang ingin tanya-tanya sama Kak Lala ya. Kak Lala open sharing nggak sih?


",Boleh nggak apa-apa,"Boleh ya? Mungkin bisa dikontak DM dengan IG-nya apa nih Kak Lala?
",Boleh @nadilasekar,"Yang belum follow jangan lupa follow. Sayang banget loh. 

"
Deniz,Lala,"Denger-denger nih. Mau lanjut S2 ya Kak Lala?
",Doakan ya temen-temen,"Kalau S2 nih rencana. Kalau mau lanjut S2 itu Mau ngambil yang linearkah dengan jurusan bahasa Inggrisnya?Atau gimana?

","Nah kebetulan Kak Deniz dulu waktu awal-awal masuk kuliah nih ya sebenernya. Aku itu punya satu impian gitu kan. Satu jurusan impian, satu karir impian gitu kan.  Jadi doakan aja ya Kak Deniz dan temen-temen


 ","Iya kita doakan ya. Semoga Lala bisa mendapatkan apa yang diinginkan di S2 nanti
"
Deddy Corbbuzier,Ivan Gunawan ,"And 5, 4, 3, 2, 1 and close the door","Kok close the door? Acaranya kan podcast Pak Gun. 5, 4, 3, 2, 1 podcast Pak Gun",Podcast baru mulai aja udah ribut Suara mikrofon aja Mikrofon ngadep atas gimana sih?,"Lu majuan dong gini, majuan","Lu liat omgi dong yang one direction dong. Jadi mikrofon ngadepnya one direction. Suara mana-mana gak bergerak. Gue taro sini gak ada bedanya, sini gak ada bedanya"
Ivan Gunawan ,Deddy Corbbuzier,Eh eh eh sekarang gue tanya. Eh podcast lu tau. Eh podcast lu tau gede. Podcast lu tau gede. ,Apaan tau tau gede?,Ini tau-tau emang gede podcast lu,Podcast gue udah gede,Iya baru-baru kan?
Deddy Corbbuzier,Ivan Gunawan ,Gak baru-baru udah gede podcast gue,Kapan? Podcast lu gede semenjak gue,Darimana? Apaan? Yeay,Yallah...,Gak butuh gue lu ada disini
Ivan Gunawan ,Deddy Corbbuzier,"Ini acara gue, Ini acara gue, Iya kan? Tapi hari ini justru. Ya saya nyembah banget nih. Kipat podcast Pak Gun Kehadiran Master Podcast Indonesia",Raditya Dika...,Mas Det gue tau kalo. Orang kalo ke podcast lu kan pada bayar. Iya dong. Iya kan?,Iya dong,"Atau kalo misalnya lu orang-orang yang perlu banget. Minta bayaran. Iya kan? Gue terharu banget loh. Lu mau dateng jadi bintang tamu gue. Dengan bayaran 3,5 juta rupiah"
Deddy Corbbuzier,Ivan Gunawan ,Bukan loh. Bukan. Lu jangan rusak harga gue,Itu siapa?,"Lu jangan, Aldi Tahir",Oh gitu,Jangan gue dong. 
Ivan Gunawan ,Deddy Corbbuzier,Kalo kita kan bro,Kita kan bro. Pak Gun. Pak Gun,Lu setuju gak kalo dari lubuk hati lu. Nama gue Pak Gun,Gue memang dari dulu tuh pengen manggil lu tuh Pak Gun. Biar lu agak kecowok-cowokan sekalilah ya. ,Maksud lu agak kecowok-cowokan. Selama ini gue gimana?
Ivan Gunawan ,Deddy Corbbuzier,"Bro, Gimana? Apa kabar?  Dari Bali ya?",Dari Bali gue,Seru ya? Dapet pesawat gratis. Hotel gratis.Emang kalo artis lebih gratis,Maaf saya bukan artis endorsean untuk liburan. Jadi kalo saya ngeliat artis-artis yang endorsean untuk liburan. Terserah ya hidup-hidup dia ya. Tapi gue anti bos,Anti. Kalo lu gak di endorse ngapain lu foto di pesawat? Lu maksudnya lu mau bilang kalo lu tuh. Mampu naik business card. Business class?
Deddy Corbbuzier,Ivan Gunawan ,Loh youtuber terkaya di Indonesia loh. Lu. Baca beritanya gak sih? Hah? Picak mata lu,Astagfirullahaladzim,Lu gak bisa baca berita? Baca?,Eh dengerin ya. Gue ini selama hidup. Gue cuma ngerasain duit lu. Gara-gara anak lu ngecat rambut. Ada suara motor lagi. Aduh malu deh gue ini. Aduh gue malu deh,Masa podcast ada suara motor
Ivan Gunawan ,Deddy Corbbuzier,Ya sabar dong. Karena ini kan nanti juga kalo udah bener-bener sukses. Bener-bener dibikin kedap suara. Semua tuh ada prosesnya tapi,Tapi gue seneng liat ini,Bagus kan?,Bagus,Iya kan? Tuh ini ada kemajuan kemarin baru ada bunga ini hijau. Sekarang ada lagi kemajuan semua step by step
Deddy Corbbuzier,Ivan Gunawan ,"Nah gue tadi mau ngelurusin yang tadi dulu ya. Bahwa gue saat ke Bali tuh gue tidak naik pesawat endorse.Tidak endorse. Saya tidak ada masalah dengan artis-artis yang endorse, tapi saya tidak endorse dan saya bayar hotel dua kali lipat",Kenapa harus bayar dua kali lipat?,Karena hotel pertama gue cancel nyokap gue sakit. Oh iya kan?,Oh jadi rencana mau liburan itu kemarin pas saat Mama tuh di rumah sakit,Betul gue udah bayar hotel. Terus gue telpon hotelnya ternyata gak bisa dipostpon
Deddy Corbbuzier,Ivan Gunawan ,"Nah di akhirnya dipostpon sama dia ke bulan depan. Nah gue mau perginya minggu depan. Lu postpon bulan depan
Ambil tuh hotel. Suruh pegawainmu tinggal",Marah. Marah. Bete,Marah gue langsung kan. Suruh pegawai anda tinggal disana,Master podcast. Master podcast,"Tapi, Kayaknya dijual lagi sih"
Ivan Gunawan ,Deddy Corbbuzier,Dijual lagi? Tapi tetep gak mungkin kalau Sabrina mah. Tipe-tipenya pasti disimpan ke bulan depan,Enggak dia gak mau,BT juga?,BT juga,Akhirnya ganti hotel
Deddy Corbbuzier,Ivan Gunawan ,Gue pecahin handphone langsung.  Oh gitu deh,Ya lu kan punya toko handphone.Gak ada masalah. Sebenernya lu nginep di daerah Jimbaran kan?,Gue gak tau gue nginep dimana sih? Gue nginep dimana sih?,Itu. Kayaknya sih kalau gue nginep di map ya. Gue tuh kan bisa searching lu ada dimana. Gue tuh tau lu ada dimana. Sama siapa. Lu ngapain aja,Kita kan share location 
Deddy Corbbuzier,Ivan Gunawan ,Lu bahas dong bahas sesuatu,Iya tapi gue seneng let lo pergi ke Bali. Kenapa?,"Iya, kenapa kenapa tuh? ",Karena selama ini kan orang-orang di sekitar lo itu. Semua rata-rata. Hanya menyenangin diri lo terus,Hanya menyenangin diri gue sendiri terus 
Ivan Gunawan ,Deddy Corbbuzier,Nemenin lo kerja. Nemenin lo begadang,"Karena, gue menyenangkan bro ",Iya tapi mereka sebenernya capek. Tapi pas lo kemarin. Gue tau,Kata siapa mereka capek?,Gue tuh bisa ngeliat dari raut wajah Sabrina sama anak lo
Deddy Corbbuzier,Ivan Gunawan ,Kata siapa?,Mereka tuh lelah Master. Mereka butuh..,Kok anda yang ngatur,Bukan ngatur. Gue tuh. Gue bisa baca pikiran lo. Walaupun lo tutup kepala lo pake topi,Gak mungkin gue gak punya otak. 
Ivan Gunawan ,Deddy Corbbuzier,Mana?. Ya kan otak lo disini. Iya kan? Bener gak?Lo kemana yang pergi ke Bali. Nyenengin hati anak lo sama cewek lo gak?,Gue ke Bali nyenengin mereka doang. Gue sih sebenernya gak pingin ke Bali. Tapi jujur ya gue tuh gak suka jalan-jalan. Jadi gue tuh paling males untuk pergi. Apalagi misalnya diajakin gitu. Pergi ke Bali gitu. Cewek gue misalnya. Pergi ke Bali atau pergi kemana. Gue tuh paling males. Kalau bisa enggak enggak gue,Alasannya?,Gua udah lebih dari 3 hari bego gua disana pasti.. Gua tuh gabisa kalo ga kerja.,Lu tapi kan you cannot... you can..you can work everywhere 
Ivan Gunawan ,Deddy Corbbuzier,"Tapi lu kan bisa kerja dimana aja, master. Gue liat lo posting posting, apa segala macam ",Tapi ga ada kerjaan gua disana,"Ya terus, kalo dirumah, lu mau ngapain? ","Lah. Gue dirumah mikirin bintang tamu. Bikin script. Macam-macam, walaupun TV tidak pakai gue sekarang",Iya lo. TV benar-benar tidak pakai lo loh. Benar-benar lo. 
Ivan Gunawan ,Deddy Corbbuzier,"Dan lo ngapain sih posting-posting gini lo.  Pake posting-posting gini lu narik perhatian orang Iba, apa gimana sih?","Supaya TV pake, siapa tau ada yang kuat bayar gue.","Dan gua pikir ya, honor Mas Deddy itu gede, ternyata sama sama gue loh.","Sama, eh lu tau gak? Gua kasih tau ya.","Ternyata sama, gua pikir yang namanya Master. Gua pikir beda."
Ivan Gunawan ,Deddy Corbbuzier,"Pasti yang kemarin telat dibayar, di nanya gue, ""Eh, lu jujur sama gue ya?"" Honor lu berapa? Honor lu berapa? Segini, ""Ah, sama sama gue.""","Gua kasih tau kenapa honor gua sama.Karena ketika ditawarin sama dia, sama TV-nya, bilang ini honornya kita samain sama Igun. Gua pikir honor lu gede.",Oh gitu.,"Ga taunya segitu, Gun. Nyesel gue, Gun.","Mana lu cuma seminggu syuting sekali, OTD."
Deddy Corbbuzier,Ivan Gunawan ,"Gua tuh, gua kenapa TV gak mau pake gue?","Kalo gua nih, kalo gua kaya.","Gua ngomong sama lu, jawab dulu dong, Bos.",Mungkin bentuk lu membosankan kali ya?,Kok gitu sih lu?
Ivan Gunawan ,Deddy Corbbuzier,"Orang, lu kan, lu tuh bener-bener ini loh Master. Lu tuh orangnya, kaya image lu tuh udah kuat banget gitu. Jadi kaya lu mau masuk ke program apa tuh agak susah gak sih sebenernya?","Gak, gua masuk ke acara lu di bisa kemarin.","Iya, bener. Seneng.Lu mau di brownies?","Gak, gak mau kesian.","Gak apa-apa, buat siang-siang buat lu makan."
Ivan Gunawan ,Deddy Corbbuzier,Bener gak sih Master Covid lagi tinggi?,Bener dong.,Tapi emang Master pasti perlu program TV?,"Gak sih, gua tuh capek Gun sebenernya.Ini jujur ya, gua ngomong nih.Gua gak mau ngomong dimana-mana. Gua tuh terima program TV terakhir tuh cuma gara-gara lu doang",OTD
Deddy Corbbuzier,Ivan Gunawan ,"Jadi buat gue, gua having fun.Gua bisa ngobrol sama lu, ketemu sama lu, seneng-seneng ketawa ke TV, yaudahlah gua ambil. Kalau itu bukan lu, gua udah gak ada. Gua udah males beneran. Gua capek.",Lu kemarin katanya mau ada program sama Soimah ,"Enggak kan, gak jadi kan.",Ya kenapa lu gak jadi?,"Ya udahlah, udah kan buat lu aja. Udahlah, beneran gua ngomong.
 Ivan aja udah. Sumpah ada chatnya gua bilang."
Ivan Gunawan ,Deddy Corbbuzier,Bener?,Beneran ,Lu gak apa-apa? ,Lu gua gak jadi. Gara-gara honor pilot.,Karena honor pilot gua ketahuan Maso Ima. Jadi Soimah gak mau syuting. Udah repot deh emang ya.
Ivan Gunawan ,Deddy Corbbuzier,Emang kita tuh kalo kerja tuh gak boleh terlalu deket ya Mas Det ya. Jadi kongkali kong ya.,Jadi bareng,Dipikirin sama TV-nya dia ngasal gak tau. Ya gua kan keceplosan gua cerita.,Iya dong.,Ya kayak gua sama lu juga gua cerita. Apapun dan segala macem.
Deddy Corbbuzier,Ivan Gunawan ,Tapi gua bener Gun ya. Gua TV itu dari tahun 98,Iya.,Di tahun 98 yang ngalamin yang namanya dateng pagi jam 10 pagi syutingnya jam 9 malem.,Ya karena lu ada persiapan kan lu pesulap.,Bukan persiapan.
Ivan Gunawan ,Deddy Corbbuzier,Lu kan pesulap. Hei dengerin lu namanya pesulap lu gunting-guntingin kertas buat lu sebar.,Hei kagak lah ,Lu tongkat yang carinya bengkok lu gini jadi.,Gua bayar pesulap buat jadi asisten gua.,Dulu itu lu udah bayar pesulap?
Deddy Corbbuzier,Ivan Gunawan ,Engga. Dulu memang ngejanggut nih diri,Beneran? Emang lu awalnya kayak sulap kayak paterno gitu?,Nggak kayak paterno lah.,Gua kan udah main di hotel-hotel. Jadi gue tuh main tahun 98. Terus di TV sampai sekarang lah. Anggap berapa puluh tahun tuh.,Iya. Lu udah ada jenuh-jenuhnya sebenernya. Sampai lu bikin sebuah kompetisi sulapun lu udah lu lakuin.
Deddy Corbbuzier,Ivan Gunawan ,Udah gue lakuin. Udah keluar semuanya.,Oke. ,Talkshow 10 tahun. Hitam putih udah 10 tahun gitu kan. Apalagi gitu.,Nggak tapi kalo lu sekarang di podcast berarti lu lagi seneng-senengnya sama podcast?,"Gua lagi seneng-senengnya karena di podcast gua, gua bebas mau ngapain aja."
Ivan Gunawan ,Deddy Corbbuzier,"Tapi kadang-kadang gua suka deg-degan kalo di podcast lu, gua suka deg-degan loh nontonnya.",Kenapa?,Karena berita-beritanya itu kan hot banget kan?,"Iya memang. Jadi memang salah satu menurut gua gini.
 Salah satu kekuatannya adalah gua tuh ngebahas berita-berita yang memang agak-agak nyerempet jurang gitu.",Tapi lu selalu berada di posisi yang di tengah ya?
Deddy Corbbuzier,Ivan Gunawan ,Gua berada di tengah. Gua tuh.,You as a masyarakat bertanya.Bertanya.,Gua tuh nggak mau menghakimi orang. Siapapun yang datang di sana gua bertanya seperti orang tolol.,Iya ,I'm basically stupid.
Deddy Corbbuzier,Ivan Gunawan ,Dan gua memang goblok. Gua memang bego. Gua tuh nggak pinter gua.,Iya,Gua tuh nggak pinter.,Iya keliatan sih.,"Keliatan dong, kalau pintar gua ga mungkin..."
